,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
134,1,0,3.9,128,46,20,1564,500,95
135,1,1,4.1,1875,30,20,1155,1200,5004
136,1,0,3.8,90,1,13,330,650,5004
137,1,0,4.2,179,1,29,1461,600,5004
138,1,0,4.3,275,4,62,1543,100,2671
139,1,0,3.7,323,30,20,607,850,5004
140,1,0,4.3,322,30,20,1543,400,5004
141,1,0,2.6,157,30,13,344,450,5004
142,1,0,3.9,543,4,62,1567,300,2680
143,1,0,3.7,180,1,13,494,500,5004
144,1,0,4.2,444,4,62,1543,100,3858
145,1,0,3.9,134,30,62,1643,400,4141
146,1,0,3.8,577,30,20,1417,900,5004
147,1,0,3.9,144,30,20,1264,550,5004
148,1,0,4.1,787,1,20,592,800,5004
149,1,0,3.6,84,1,62,1585,250,102
150,1,1,4.0,349,1,20,1515,1200,5004
151,1,0,3.7,248,46,62,1323,400,5004
152,1,0,4.1,216,4,13,389,500,5004
153,1,0,4.0,324,1,13,460,700,5004
154,1,0,2.6,231,46,62,1266,400,4397
155,1,0,3.4,102,79,20,1587,400,732
156,1,0,3.9,133,1,13,439,800,5004
157,1,0,2.8,45,1,20,1479,800,5004
158,1,0,3.8,75,1,62,834,200,5004
159,1,0,4.0,53,63,29,1109,600,5004
160,1,1,4.2,815,30,20,1192,900,5004
161,1,1,4.0,633,1,20,1192,800,5004
162,1,0,3.5,56,30,30,954,400,5004
163,1,0,3.9,70,1,30,844,400,5004
164,1,0,3.9,91,30,13,437,300,5004
165,1,0,3.8,77,46,13,399,650,5004
166,1,0,3.8,210,46,20,1231,600,5004
167,1,0,4.1,130,30,13,471,650,5004
168,1,0,4.1,30,30,9,229,100,5004
169,1,0,3.8,144,1,13,531,700,5004
170,1,0,3.7,133,30,20,605,700,5004
171,1,0,4.0,136,30,62,1567,350,1662
172,1,0,3.8,74,4,62,1585,300,5004
173,1,0,3.7,54,4,13,357,600,5004
174,1,0,3.4,58,4,13,434,400,5004
175,1,0,3.6,129,1,20,1087,600,5004
176,1,0,3.5,41,75,44,1471,400,5004
177,1,0,4.1,176,4,20,67,800,5004
178,1,0,3.7,47,30,66,842,400,5004
179,1,1,3.7,36,30,20,584,650,5004
180,1,0,3.9,101,4,62,1543,150,5004
181,1,1,4.1,442,30,60,690,1200,5004
182,1,0,3.8,53,30,62,949,250,5004
183,1,0,4.0,232,30,62,1557,400,5004
184,1,0,3.9,221,30,20,519,700,5004
185,1,1,4.1,1063,30,21,983,1200,5004
186,1,0,3.7,93,4,62,1624,200,5004
187,1,0,3.9,233,30,20,1003,800,5004
188,1,0,3.9,211,30,20,838,500,5004
189,1,0,4.0,1778,30,62,1440,200,40
190,1,0,3.6,218,82,20,1273,800,5004
191,1,0,3.7,514,4,13,456,600,5004
192,1,1,4.0,866,30,20,1292,900,5004
193,1,0,3.2,96,46,62,1152,400,5004
194,1,0,3.5,80,1,62,1666,250,5004
195,1,0,4.0,73,4,0,192,300,2993
196,1,0,3.9,84,30,69,1117,400,5004
197,1,0,3.5,88,1,62,1588,350,5004
198,1,0,3.5,179,1,20,1204,600,5004
199,1,0,3.8,61,4,62,1017,100,5004
200,1,0,3.7,128,79,20,1216,450,5004
201,1,0,3.8,339,30,62,1585,400,729
202,1,0,4.1,449,4,62,1624,100,5004
203,1,0,4.1,210,30,32,208,150,5004
204,1,0,3.0,213,1,62,1424,400,5004
205,1,0,3.2,208,30,12,1648,250,4058
206,1,0,3.8,70,1,62,1543,100,123
207,1,0,4.0,219,4,13,453,600,5004
208,1,0,3.7,59,1,62,1447,200,5004
209,1,0,3.7,124,46,20,290,750,5004
210,1,1,4.1,775,1,20,1382,800,5004
211,1,1,4.2,2022,30,20,1412,1000,5004
212,1,1,4.2,150,1,13,460,600,1374
213,1,0,4.0,232,4,20,1192,750,5004
214,1,1,3.5,431,30,20,1152,800,5004
215,1,1,4.2,2115,1,20,1477,800,5004
216,1,0,3.8,155,30,20,1593,450,5004
217,1,1,4.1,666,30,21,49,1000,5004
218,1,0,3.9,240,4,13,330,700,5004
219,1,0,3.8,918,1,16,482,800,5004
220,1,0,4.0,465,30,20,1593,600,2701
221,1,1,4.1,970,30,54,1309,1500,5004
222,1,0,3.3,128,1,62,1192,300,5004
223,1,0,3.6,241,46,62,1192,300,5004
224,1,0,4.3,734,1,62,1593,200,3136
225,1,0,3.8,130,30,62,1177,400,5004
226,1,0,4.2,261,30,13,387,700,5004
227,1,0,4.0,191,46,62,1594,300,122
228,1,0,4.1,364,4,20,1562,550,125
229,1,0,3.9,888,1,20,1430,750,2694
230,1,0,3.9,750,4,20,1273,500,3325
231,1,1,4.2,164,1,13,378,500,5004
232,1,0,3.8,527,4,20,1152,500,5004
233,0,0,4.3,345,1,30,952,400,5004
234,0,0,4.4,356,1,69,1112,150,5004
235,1,0,3.9,38,1,30,945,150,1799
236,1,0,3.9,116,1,30,955,400,2615
237,1,0,3.8,918,1,16,482,800,5004
238,1,0,3.8,144,1,13,531,700,5004
239,1,0,4.3,860,1,30,787,500,5004
240,0,0,3.8,45,1,72,173,400,5004
241,1,0,3.9,70,1,30,844,400,5004
242,0,0,4.0,98,4,70,1119,400,5004
